Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
12 Rounds,12234694.0,18184083.0,8283859.0,20000000.0,Mar 27 2009,PG-13,108.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,28.0,5.4,8914.0
2012,166112167.0,766812167.0,50736023.0,200000000.0,Nov 13 2009,PG-13,158.0,Sony Pictures,Original Screenplay,Action,Science Fiction,Roland Emmerich,39.0,6.2,396.0
300,210614939.0,456068181.0,261252400.0,60000000.0,Mar 09 2007,R,117.0,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60.0,7.8,235508.0
3:10 to Yuma,53606916.0,69791889.0,51359371.0,48000000.0,Sep 02 2007,R,117.0,Lionsgate,Remake,Western,Historical Fiction,James Mangold,89.0,7.9,98355.0
88 Minutes,16930884.0,32955399.0,11385055.0,30000000.0,Apr 18 2008,R,106.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,5.0,5.9,31205.0
A Good Year,7459300.0,42064105.0,7342760.0,35000000.0,Nov 10 2006,PG-13,118.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Ridley Scott,24.0,6.8,23149.0
Evan Almighty,100289690.0,173219280.0,38038256.0,175000000.0,Jun 22 2007,PG,78.0,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,23.0,5.5,43164.0
Alvin and the Chipmunks,217326974.0,360578644.0,137516182.0,55000000.0,Dec 14 2007,PG,92.0,20th Century Fox,Based on TV,Comedy,Kids Fiction,Tim Hill,27.0,5.5,19200.0
American Gangster,130164645.0,265697825.0,72653959.0,100000000.0,Nov 02 2007,R,157.0,Universal,Based on Real Life Events,Drama,Dramatization,Ridley Scott,79.0,7.9,114060.0
Apocalypto,50866635.0,117785051.0,43318599.0,40000000.0,Dec 08 2006,R,136.0,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,Mel Gibson,64.0,7.9,82162.0
Atonement,50980159.0,129425746.0,15678677.0,30000000.0,Dec 07 2007,R,130.0,Focus Features,Based on Book/Short Story,Drama,Contemporary Fiction,Joe Wright,83.0,7.9,75491.0
Away We Go,9451946.0,10108016.0,3788940.0,21000000.0,Jun 05 2009,R,98.0,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Sam Mendes,66.0,7.3,14929.0
Babylon A.D.,22532572.0,70216497.0,16787309.0,45000000.0,Aug 29 2008,PG-13,100.0,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Mathieu Kassovitz,7.0,5.3,27189.0
Bangkok Dangerous,15298133.0,46598133.0,15494886.0,45000000.0,Sep 05 2008,R,98.0,Lionsgate,Remake,Action,Contemporary Fiction,Oxide Pang Chun,9.0,5.4,20931.0
The Dark Knight,533345358.0,1022345358.0,234119058.0,185000000.0,Jul 18 2008,PG-13,152.0,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,93.0,8.9,465000.0
The Curious Case of Benjamin Button,127509326.0,329809326.0,42850598.0,160000000.0,Dec 25 2008,PG-13,167.0,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,David Fincher,72.0,8.0,137120.0
Body of Lies,39394666.0,108394666.0,22024703.0,67500000.0,Oct 10 2008,R,129.0,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ridley Scott,52.0,7.2,53921.0
